STT,Block Type,Block,Type,Layer Name,In Channels,Out Channels,Resolution (HxW),OFM,OFM_SIZE (byte),OFM_TYPE,IFM,IFM_SIZE (byte),IFM_TYPE,Weight Shape,Weight Params,Weight Size (Byte),kernel,padding,stride,Weight Storage DType,Weight Notes
345,,,Constant,/Generator/resblock_8/norm1/Constant_1,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
346,,,Constant,/Generator/resblock_8/norm1/Constant_2,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
347,,,Constant,/Generator/resblock_8/norm1/Constant_3,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
348,,,Constant,/Generator/resblock_8/pad_1/Constant,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
349,,,Constant,/Generator/resblock_8/pad_1/Constant_1,N/A,N/A,N/A,[4],32,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
350,,,ConstantOfShape,/Generator/resblock_8/pad_1/ConstantOfShape,N/A,N/A,N/A,[4],32,int64,[1],8,int64,N/A,0,0,,,,N/A,
351,,,Concat,/Generator/resblock_8/pad_1/Concat,N/A,N/A,N/A,[8],64,int64,[4],32,int64,N/A,0,0,,,,N/A,
352,,,Constant,/Generator/resblock_8/pad_1/Constant_2,N/A,N/A,N/A,[2],16,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
353,,,Reshape,/Generator/resblock_8/pad_1/Reshape,N/A,N/A,N/A,"[4, 2]",64,int64,[8],64,int64,N/A,0,0,,,,N/A,
354,,,Constant,/Generator/resblock_8/pad_1/Constant_3,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
355,,,Constant,/Generator/resblock_8/pad_1/Constant_4,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
356,,,Constant,/Generator/resblock_8/pad_1/Constant_5,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
357,,,Constant,/Generator/resblock_8/pad_1/Constant_6,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
358,,,Slice,/Generator/resblock_8/pad_1/Slice,N/A,N/A,N/A,"[4, 2]",64,int64,"[4, 2]",64,int64,N/A,0,0,,,,N/A,
359,,,Transpose,/Generator/resblock_8/pad_1/Transpose,N/A,N/A,N/A,"[2, 4]",64,int64,"[4, 2]",64,int64,N/A,0,0,,,,N/A,
360,,,Constant,/Generator/resblock_8/pad_1/Constant_7,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
361,,,Reshape,/Generator/resblock_8/pad_1/Reshape_1,N/A,N/A,N/A,[8],64,int64,"[2, 4]",64,int64,N/A,0,0,,,,N/A,
362,,,Cast,/Generator/resblock_8/pad_1/Cast,N/A,N/A,N/A,[8],64,int64,[8],64,int64,N/A,0,0,,,,N/A,
363,,,Constant,/Generator/resblock_8/norm2/Constant,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
